               , |               , |               , |               , |255:000:000:000,1|               , |               , |               , |               , |               , |
               , |               , |               , |               , |255:255:000:000,1|255:255:000:000,1|               , |               , |               , |               , |
               , |               , |               , |255:255:000:000,1|255:255:000:000,1|255:255:000:000,1|255:255:000:000,1|               , |               , |               , |
               , |               , |255:255:000:000,1|255:255:000:000,1|255:255:020:147,1|255:255:020:147,1|255:255:000:000,1|255:255:000:000,1|               , |               , |
               , |255:255:000:000,1|255:255:000:000,1|255:255:020:147,1|255:255:020:147,1|255:255:020:147,1|255:255:020:147,1|255:255:000:000,1|255:255:000:000,1|               , |
255:255:000:000,1|255:255:000:000,1|255:255:020:147,1|255:255:020:147,1|255:000:000:255,1|255:000:000:255,1|255:255:020:147,1|255:255:020:147,1|255:255:000:000,1|255:255:000:000,1|
255:255:000:000,1|255:255:000:000,1|255:255:020:147,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:255:020:147,1|255:255:000:000,1|255:255:000:000,1|
255:255:000:000,1|255:255:020:147,1|255:000:000:255,1|255:000:000:255,1|255:124:252:000,1|255:124:252:000,1|255:000:000:255,1|255:000:000:255,1|255:255:020:147,1|255:255:000:000,1|
255:255:000:000,1|255:255:020:147,1|255:000:000:255,1|255:124:252:000,1|255:124:252:000,1|255:124:252:000,1|255:124:252:000,1|255:000:000:255,1|255:255:020:147,1|255:255:000:000,1|
255:255:000:000,1|255:255:020:147,1|255:000:000:255,1|255:124:252:000,1|255:255:255:000,1|255:255:255:000,1|255:124:252:000,1|255:000:000:255,1|255:255:020:147,1|255:255:000:000,1|
255:255:000:000,1|255:255:020:147,1|255:000:000:255,1|255:124:252:000,1|               , |               , |255:124:252:000,1|255:000:000:255,1|255:255:020:147,1|255:255:000:000,1|
               , |               , |               , |               , |               , |               , |               , |               , |               , |               , |
