255:000:000:000,1|               , |               , |               , |255:000:000:000,1|               , |               , |               , |               , |255:000:000:000,1|
               , |               , |255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|               , |               , |
               , |255:000:000:255,1|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:000:000:255,1|               , |
255:000:000:255,1|255:255:255:000,2|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:255:255:000,2|255:000:000:255,1|
255:000:000:255,1|255:255:255:000,2|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:255:255:000,2|255:000:000:255,1|
255:000:000:255,1|255:255:255:000,2|255:255:255:000,2|255:000:000:255,1|255:255:255:000,2|255:255:255:000,2|255:000:000:255,1|255:255:255:000,2|255:255:255:000,2|255:000:000:255,1|
255:000:000:255,1|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:000:000:255,1|
255:000:000:255,1|255:255:255:000,2|255:000:000:255,1|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:000:000:255,1|
255:000:000:255,1|255:255:255:000,2|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:255:255:000,2|255:255:255:000,2|255:000:000:255,1|
               , |255:000:000:255,1|255:255:255:000,2|255:255:255:000,2|255:255:000:000,3|255:255:000:000,3|255:255:255:000,2|255:255:255:000,2|255:000:000:255,1|               , |
               , |               , |255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|255:000:000:255,1|               , |               , |
               , |               , |               , |               , |               , |               , |               , |               , |               , |               , |
