255:000:000:000,2|255:000:000:000,2|               , |               , |               , |               , |               , |255:000:000:000,2|255:000:000:000,2|               , |
255:000:000:255,2|255:255:020:147,2|255:255:020:147,2|               , |               , |               , |               , |255:255:020:147,2|255:255:020:147,2|255:124:252:000,2|
255:000:000:255,2|255:000:000:255,2|255:255:020:147,2|255:255:020:147,2|               , |               , |255:255:020:147,2|255:255:020:147,2|255:124:252:000,2|255:124:252:000,2|
255:255:020:147,2|255:000:000:255,2|255:000:000:255,2|255:255:020:147,2|255:255:020:147,2|255:255:020:147,2|255:255:020:147,2|255:124:252:000,2|255:124:252:000,2|255:255:020:147,2|
255:255:020:147,2|255:255:020:147,2|255:000:000:255,2|255:000:000:255,2|255:255:020:147,2|255:255:020:147,2|255:124:252:000,2|255:124:252:000,2|255:255:020:147,2|255:255:020:147,2|
255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:000:000:255,2|255:000:000:255,2|255:124:252:000,2|255:124:252:000,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|
255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|255:124:252:000,2|255:124:252:000,2|255:000:000:255,2|255:000:000:255,2|255:255:255:000,2|255:255:255:000,2|255:255:255:000,2|
255:255:020:147,2|255:255:020:147,2|255:124:252:000,2|255:124:252:000,2|255:255:020:147,2|255:255:020:147,2|255:000:000:255,2|255:000:000:255,2|255:255:020:147,2|255:255:020:147,2|
255:255:020:147,2|255:124:252:000,2|255:124:252:000,2|255:255:020:147,2|255:255:020:147,2|255:255:020:147,2|255:255:020:147,2|255:000:000:255,2|255:000:000:255,2|255:255:020:147,2|
255:124:252:000,2|255:124:252:000,2|255:255:020:147,2|255:255:020:147,2|               , |               , |255:255:020:147,2|255:255:020:147,2|255:000:000:255,2|255:000:000:255,2|
255:124:252:000,2|255:255:020:147,2|255:255:020:147,2|               , |               , |               , |               , |255:255:020:147,2|255:255:020:147,2|255:000:000:255,2|
               , |               , |               , |               , |               , |               , |               , |               , |               , |               , |
