255:000:000:000,2|               , |255:000:000:000,2|               , |255:000:000:000,2|               , |255:000:000:000,2|               , |255:000:000:000,2|               , |
255:000:000:255,2|               , |255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|               , |255:000:000:255,2|
255:000:000:255,2|255:000:000:255,2|               , |               , |               , |               , |               , |               , |255:000:000:255,2|255:000:000:255,2|
255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|               , |               , |               , |               , |255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|
255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|               , |               , |               , |               , |255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|
255:000:000:255,2|255:255:255:000,3|255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|255:255:255:000,3|255:000:000:255,2|
255:000:000:255,2|255:255:255:000,3|255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|255:255:255:000,3|255:000:000:255,2|
255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|               , |               , |               , |               , |255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|
255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|               , |               , |               , |               , |255:000:000:255,2|255:000:000:255,2|255:000:000:255,2|
255:000:000:255,2|255:000:000:255,2|               , |               , |               , |               , |               , |               , |255:000:000:255,2|255:000:000:255,2|
255:000:000:255,2|               , |255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|               , |255:000:000:255,2|
               , |               , |               , |               , |               , |               , |               , |               , |               , |               , |
