255:000:000:000,1|               , |               , |               , |               , |               , |255:000:000:000,1|255:000:000:000,1|255:000:000:000,1|255:000:000:000,1|
255:255:000:000,1|               , |               , |255:000:000:255,1|255:000:255:000,1|               , |               , |255:000:255:255,1|255:000:255:255,1|255:000:255:255,1|
255:255:000:000,1|               , |255:255:000:000,1|255:000:000:255,1|255:000:255:000,1|255:000:255:000,1|255:000:255:000,1|255:000:255:255,1|255:000:255:255,1|255:000:255:255,1|
255:255:000:000,1|               , |255:255:000:000,1|255:000:000:255,1|255:000:255:000,1|255:000:255:000,1|255:000:255:000,1|255:000:255:255,1|               , |               , |
255:255:000:000,1|255:255:000:000,1|255:255:000:000,1|255:000:000:255,1|255:000:255:000,1|255:000:255:000,1|255:000:255:000,1|255:000:255:255,1|               , |               , |
255:255:000:000,1|255:255:000:000,1|               , |255:000:000:255,1|255:000:255:000,1|255:000:255:000,1|255:000:255:000,1|255:000:255:255,1|255:000:255:255,1|255:000:255:255,1|
255:255:000:000,1|255:255:000:000,1|               , |255:000:000:255,1|255:000:255:000,1|255:000:255:000,1|255:000:255:000,1|255:000:255:255,1|255:000:255:255,1|255:000:255:255,1|
255:255:000:000,1|255:255:000:000,1|               , |255:000:000:255,1|255:000:255:000,1|               , |255:000:255:000,1|255:000:255:255,1|               , |255:000:255:255,1|
255:255:000:000,1|255:255:000:000,1|255:255:000:000,1|255:000:000:255,1|255:000:255:000,1|               , |255:000:255:000,1|255:000:255:255,1|               , |255:000:255:255,1|
255:255:000:000,1|               , |255:255:000:000,1|255:000:000:255,1|255:000:255:000,1|               , |255:000:255:000,1|255:000:255:255,1|255:000:255:255,1|255:000:255:255,1|
255:255:000:000,1|               , |255:255:000:000,1|255:000:000:255,1|255:000:255:000,1|               , |255:000:255:000,1|255:000:255:255,1|255:000:255:255,1|255:000:255:255,1|
255:255:000:000,1|               , |255:255:000:000,1|255:000:000:255,1|255:000:255:000,1|               , |255:000:255:000,1|255:000:255:255,1|255:000:255:255,1|255:000:255:255,1|
